title,types,score,drector,writer,actor,account,country,label,flim_version
封神传奇,"剧情, 动作, 奇幻",2.9,许安 Koan Hui,"张炭 Cheung Tan, 张志光 Chi-Kwong Cheung, 孙子荣 Samson Sun","李连杰, 范冰冰, 黄晓明, 杨颖, 古天乐, 文章, 向佐, 梁家辉, 祖锋, 安志杰, 许晴, 陈小春",44914,"香港, 中国大陆",13.02506,1
相声大电影之我要幸福,"剧情, 喜剧",2.9,张鹤栾 Heluan Zhang,李颖 Ying Li,"郭德纲, 于谦, 岳云鹏, 郭麒麟, 侯震, 张鹤伦, 阎鹤祥, 孙越, 朱云峰, 张云雷, 张鹤帆, 王耀宗, 杨九郎, 郎鹤炎, 黎心韵, 林琳奇, 黄健翔, 孟非, 刘刚, 刘威, 肖剑, 姜超, 潘长江",3364,中国大陆,0.97556,1
模特魅影,"剧情, 悬疑, 惊悚",2.8,佟秀玄 Xiuxuan Tong,佟秀玄 Xiuxuan Tong,"倪慕斯, 杨骏, 唐宁, 李星海, 饶薇, 易薇, 蒲美辰, 梁竟依",2396,中国大陆,0.67088,1
泡沫之夏,"剧情, 爱情",2.6,赖俊羽 Chun-Yu Lai,"李佳颖 Carol Li, 明晓溪 Xiaoxi Ming","黄灿灿, 罗仲谦, 严禹豪, 林晖闵, 张国柱, 归亚蕾, 金燕玲, 九孔, 郎祖筠, 王冠逸, 陈雅丽",6087,中国大陆,1.58262,1
中国好声音之为你转身,"剧情, 爱情, 音乐",2.5,蔡於位 Yee-Wei Chai,史益鑫 Yixin Shi,"吴莫愁, 李代沫, 张玮, 丁丁, 张赫宣, 金池, 赵露, 王克, 刘大山, 戴潆萱, 李秋泽, 钟伟强, 汪峰, 华少, 伊一",2954,中国大陆,0.7385,1
咏春小龙,"剧情, 动作",2.4,秦瑞明 Ruiming Qin,秦瑞明 Ruiming Qin,"元华, 王小龙, 郑忠, 谷尚蔚, 胡薇, 吕克·本扎",8912,中国大陆,2.13888,1
B区32号,"剧情, 惊悚, 恐怖",2.3,吕建民 Jianming Lv,张二,"邓紫衣, 唐宸禹, 李锐",5774,中国大陆,1.32802,1
纯洁心灵·逐梦演艺圈,"剧情, 喜剧",2.2,毕志飞 Zhifei Bi,毕志飞 Zhifei Bi,"朱哲健, 李彦漫, 陈思瀚, 张芷榕, 毕志飞, 蒋龙, 薛皓, 王渊慧, 辛祚宇, 兰海隆, 姜珮瑶, 郭庭, 王笑一, 马瑜遥, 张琳然, 刘子铭, 王曲浩然, 杨佳佳, 刘玲钰",75961,中国大陆,16.71142,1
嫁给大山的女人,剧情,2.1,胡明钢 Minggang Hu,"陈计中, 阴法勇 Fayong Yin","王力可, 施展, 村里",5790,中国大陆,1.2159,1
机器人总动员,"爱情, 科幻, 动画, 冒险",9.3,安德鲁·斯坦顿 Andrew Stanton,"安德鲁·斯坦顿 Andrew Stanton, 吉姆·里尔顿 Jim Reardon, 彼特·道格特 Pete Docter","本·贝尔特, 艾丽莎·奈特, 杰夫·格尔林, 佛莱德·威拉特, 西格妮·韦弗, MacInTalk, 约翰·拉岑贝格, 凯茜·纳基麦, 泰迪·牛顿, 鲍伯·伯根, 洛丽·理查德森, 吉姆·瓦德, 彼特·道格特, 安德鲁·斯坦顿, 杰夫·皮金, 约翰·齐甘, 米凯·麦高万, 雪莉·琳恩, 克莱特·惠特克, 唐纳德·富利洛夫, 罗里·艾伦, 杰斯·哈梅尔, 拉瑞恩·纽曼, 扬·拉布森, 保罗·伊丁",632015,美国,587.77395,1
博士之日,科幻,8.7,尼克·赫伦 Nick Hurran,史蒂文·莫法特 Steven Moffat,"大卫·田纳特, 珍娜·科尔曼, 约翰·赫特, 马特·史密斯, 比莉·派佩",5746,英国,4.99902,1
别了武器,"战争, 科幻",8.7,カトキハジメ,"カトキハジメ, 大友克洋 Katsuhiro ?tomo","二又一成, 檀臣幸, 牛山茂, 大塚明夫, 置鲇龙太郎, 森田修平",2105,日本,1.83135,1
钢铁巨人,"喜剧, 科幻, 动画, 冒险",8.6,布拉德·伯德 Brad Bird,"蒂姆·麦肯莱斯 Tim McCanlies, 布拉德·伯德 Brad Bird, 特德·休斯 Ted Hughes","艾力·马伦斯奥, 范·迪塞尔, 小哈里·康尼克, 詹妮弗·安妮斯顿, 克里斯托弗·麦克唐纳, 詹姆斯·盖蒙, 克萝丽丝·利奇曼, 约翰·马奥尼, M·埃梅特·沃尔什, 鲍伯·伯根, 奥利·约翰斯顿, 法兰克·汤玛斯",12308,美国,10.58488,1
霹雳五号,"喜剧, 家庭, 科幻",8.6,约翰·班德汉姆 John Badham,"S·S·威尔逊 S.S. Wilson, 布伦特·马多克 Brent Maddock","艾丽·西蒂, 斯蒂夫·古根伯格, 费舍·史蒂芬斯, 奥斯汀·潘德尔顿, G.W.拜利, 布莱恩·麦克纳玛拉, Tim Blaney, Marvin J. McIntyre, John Garber, Penny Santon, Vernon Weddle, 芭芭拉·塔拉布克, Tom Lawrence, Fred Slyter, Billy Ray Sharkey",10629,美国,9.14094,1
人狼,"科幻, 动画",8.6,沖浦啓之 Hiroyuki Okiura,押井守,"藤木义胜, 武藤寿美, 木下浩之, 广田行生, 仙台绘里",10471,日本,9.00506,1
原始星球,"动画, 科幻",8.6,René Laloux,"Stefan Wul, Roland Topor, René Laloux","Jennifer Drake, Eric Baugin, 让·托帕尔, Jean Valmont, Sylvie Lenoir, Michèle Chahan, 伊夫·巴萨克",8830,"法国, 捷克斯洛伐克",7.5938,1
回到未来,"喜剧, 科幻, 冒险",8.5,罗伯特·泽米吉斯 Robert Zemeckis,"罗伯特·泽米吉斯 Robert Zemeckis, 鲍勃·盖尔 Bob Gale","迈克尔·J·福克斯, 克里斯托弗·洛伊德, 莉·汤普森, 克里斯平·格洛弗, 托马斯·F·威尔森, 克劳迪娅·韦尔斯, 马克·麦克卢尔, 温迪·乔·斯佩博, 乔治·第桑佐, 弗兰西斯·李·麦克凯恩, 詹姆斯·托根, J·J·科恩, 凯西·希玛兹科, 比利·赞恩, 小哈利·沃特斯, 唐纳德·富利洛夫, 丽萨·弗里曼, 克里斯滕·考夫曼",84767,美国,72.05195,1
神秘博士：博士之时,科幻,8.5,Jamie Payne,史蒂文·莫法特 Steven Moffat,"马特·史密斯, 彼得·卡帕尔迪, 珍娜·科尔曼, 凯伦·吉兰",3632,英国,3.0872,1
